Publication Years	Record Count	% of 54.971
2024	3067	5.579
2023	4852	8.826
2022	4669	8.494
2021	4076	7.415
2020	3420	6.221
2019	3134	5.701
2018	2458	4.471
2017	2261	4.113
2016	2048	3.726
2015	1889	3.436
2014	1781	3.240
2013	1722	3.133
2012	1589	2.891
2011	1379	2.509
2010	1330	2.419
2009	1257	2.287
2008	1142	2.077
2007	1170	2.128
2006	962	1.750
2005	896	1.630
2004	923	1.679
2003	801	1.457
2002	767	1.395
2001	728	1.324
2000	752	1.368
1999	701	1.275
1998	701	1.275
1997	677	1.232
1996	597	1.086
1995	421	0.766
1994	437	0.795
1993	354	0.644
1992	346	0.629
1991	283	0.515
1990	128	0.233
1989	108	0.196
1988	113	0.206
1987	100	0.182
1986	102	0.186
1985	114	0.207
1984	64	0.116
1983	63	0.115
1982	82	0.149
1981	92	0.167
1980	59	0.107
1979	50	0.091
1978	41	0.075
1977	45	0.082
1976	38	0.069
1975	13	0.024
1974	22	0.040
1973	12	0.022
1972	8	0.015
1971	6	0.011
1970	10	0.018
1969	9	0.016
1968	9	0.016
1967	12	0.022
1966	11	0.020
1965	8	0.015
1964	6	0.011
1963	5	0.009
1962	7	0.013
1961	8	0.015
1960	5	0.009
1959	7	0.013
1958	3	0.005
1957	1	0.002
1955	1	0.002
1954	4	0.007
1952	1	0.002
1951	1	0.002
1950	1	0.002
1947	2	0.004
1946	4	0.007
1945	2	0.004
1940	2	0.004
1935	1	0.002
1928	1	0.002
