Publication Years	Record Count	% of 8.213
2024	397	4.834
2023	689	8.389
2022	769	9.363
2021	702	8.547
2020	592	7.208
2019	567	6.904
2018	434	5.284
2017	375	4.566
2016	380	4.627
2015	360	4.383
2014	334	4.067
2013	296	3.604
2012	252	3.068
2011	255	3.105
2010	204	2.484
2009	228	2.776
2008	210	2.557
2007	211	2.569
2006	165	2.009
2005	141	1.717
2004	112	1.364
2003	112	1.364
2002	89	1.084
2001	51	0.621
2000	63	0.767
1999	52	0.633
1998	44	0.536
1997	33	0.402
1996	25	0.304
1995	17	0.207
1994	9	0.110
1993	7	0.085
1992	9	0.110
1991	9	0.110
1990	5	0.061
1989	1	0.012
1988	1	0.012
1987	1	0.012
1986	1	0.012
1985	1	0.012
1983	1	0.012
1981	2	0.024
1980	1	0.012
1979	2	0.024
1977	2	0.024
1974	1	0.012
1967	1	0.012
