Publication Years	Record Count	% of 38.282
2024	1349	3.524
2023	2893	7.557
2022	3347	8.743
2021	3160	8.255
2020	2858	7.466
2019	2592	6.771
2018	2045	5.342
2017	1818	4.749
2016	1715	4.480
2015	1639	4.281
2014	1496	3.908
2013	1298	3.391
2012	1215	3.174
2011	1085	2.834
2010	1042	2.722
2009	987	2.578
2008	918	2.398
2007	832	2.173
2006	793	2.071
2005	686	1.792
2004	627	1.638
2003	543	1.418
2002	417	1.089
2001	348	0.909
2000	395	1.032
1999	332	0.867
1998	314	0.820
1997	299	0.781
1996	221	0.577
1995	160	0.418
1994	186	0.486
1993	137	0.358
1992	125	0.327
1991	90	0.235
1990	49	0.128
1989	32	0.084
1988	27	0.071
1987	32	0.084
1986	29	0.076
1985	25	0.065
1984	15	0.039
1983	9	0.024
1982	10	0.026
1981	5	0.013
1980	8	0.021
1979	9	0.024
1978	6	0.016
1977	6	0.016
1976	4	0.010
1970	1	0.003
1967	7	0.018
1966	1	0.003
1965	5	0.013
1964	1	0.003
1963	2	0.005
1962	2	0.005
1961	2	0.005
1960	4	0.010
1959	1	0.003
1958	2	0.005
1957	1	0.003
1956	1	0.003
1955	2	0.005
1954	3	0.008
1953	3	0.008
1952	1	0.003
1951	1	0.003
1947	1	0.003
1944	1	0.003
1943	1	0.003
1941	2	0.005
1940	1	0.003
1939	2	0.005
1932	1	0.003
1931	2	0.005
1930	1	0.003
1928	1	0.003
1926	1	0.003
